,Primeras Dosis Diarias,Primeras Dosis Acumulado,"Primeras Dosis Acumulado, % poblacion",Segundas y Janssen Diarias,Segundas y Janssen Acumulada,"Segundas y Janssen Acumulado, % Poblacion",Dosis Todas Diarias,Dosis Todas Acumuladas,Terceras acumuladas,Terceras diarias
2021-08-27,20788.0,3172621.0,27.3,77405.0,2600349.0,22.4,98193.0,5772970.0,49.7,0.0
2021-08-28,12876.0,3185497.0,27.4,26842.0,2627191.0,22.6,39718.0,5812688.0,50.0,0.0
2021-08-29,13238.0,3198735.0,27.5,24868.0,2652059.0,22.8,38106.0,5850794.0,50.4,0.0
2021-08-30,32162.0,3230897.0,27.8,67176.0,2719235.0,23.4,99338.0,5950132.0,51.2,0.0
2021-08-31,22416.0,3253313.0,28.0,28609.5,2747844.5,23.6,51025.5,6001157.5,51.6,0.0
2021-09-01,8063.0,3261376.0,28.1,24828.5,2772673.0,23.9,32891.5,6034049.0,51.9,0.0
2021-09-02,5570.5,3266946.5,28.1,18469.5,2791142.5,24.0,24040.0,6058089.0,52.1,0.0
2021-09-03,5570.5,3272517.0,28.2,18469.5,2809612.0,24.2,24040.0,6082129.0,52.3,0.0
2021-09-04,4235.0,3276752.0,28.2,16471.5,2826083.5,24.3,20706.5,6102835.5,52.5,0.0
2021-09-05,549.0,3277301.0,28.2,9724.5,2835808.0,24.4,10273.5,6113109.0,52.6,0.0
2021-09-06,5021.0,3282322.0,28.2,21514.5,2857322.5,24.6,26535.5,6139644.5,52.8,0.0
2021-09-07,5898.5,3288220.5,28.3,28966.0,2886288.5,24.8,34864.5,6174509.0,53.1,0.0
2021-09-08,5898.5,3294119.0,28.3,28966.0,2915254.5,25.1,34864.5,6209373.5,53.4,0.0
2021-09-09,5968.0,3300087.0,28.4,28107.5,2943362.0,25.3,34075.5,6243449.0,53.7,0.0
2021-09-10,6479.0,3306566.0,28.5,18522.0,2961884.0,25.5,25001.0,6268450.0,53.9,0.0
2021-09-11,1134.0,3307700.0,28.5,4185.0,2966069.0,25.5,5319.0,6273769.0,54.0,0.0
2021-09-12,923.0,3308623.0,28.5,3045.0,2969114.0,25.6,3968.0,6277737.0,54.0,0.0
2021-09-13,6939.5,3315562.5,28.5,15989.5,2985103.5,25.7,22929.0,6300666.0,54.2,0.0
2021-09-14,6939.5,3322502.0,28.6,15989.5,3001093.0,25.8,22929.0,6323595.0,54.4,0.0
2021-09-15,7176.0,3329678.0,28.7,16890.0,3017983.0,26.0,24066.0,6347661.0,54.6,0.0
2021-09-16,5608.0,3335286.0,28.7,8072.7,3026055.7,26.0,13680.7,6361341.7,54.7,0.0
2021-09-17,5608.0,3340894.0,28.8,8072.7,3034128.3,26.1,13680.7,6375022.3,54.9,0.0
2021-09-18,5608.0,3346502.0,28.8,8072.7,3042201.0,26.2,13680.7,6388703.0,55.0,0.0
2021-09-19,6414.0,3352916.0,28.9,20808.5,3063009.5,26.4,27222.5,6415925.5,55.2,0.0
2021-09-20,6414.0,3359330.0,28.9,20808.5,3083818.0,26.5,27222.5,6443148.0,55.4,0.0
2021-09-21,11483.5,3370813.5,29.0,67707.0,3151525.0,27.1,79190.5,6522338.5,56.1,0.0
2021-09-22,11483.5,3382297.0,29.1,67707.0,3219232.0,27.7,79190.5,6601529.0,56.8,0.0
2021-09-23,0.0,3382297.0,29.1,0.0,3219232.0,27.7,0.0,6601529.0,56.8,0.0
2021-09-24,6992.0,3389289.0,29.2,28446.0,3247678.0,27.9,35438.0,6636967.0,57.1,0.0
2021-09-25,2352.0,3391641.0,29.2,7487.0,3255165.0,28.0,9839.0,6646806.0,57.2,0.0
2021-09-26,1626.0,3393267.0,29.2,3223.0,3258388.0,28.0,4849.0,6651655.0,57.2,0.0
2021-09-27,10010.0,3403277.0,29.3,38989.0,3297377.0,28.4,48999.0,6700654.0,57.7,0.0
2021-09-28,8714.5,3411991.5,29.4,31186.0,3328563.0,28.6,39900.5,6740554.5,58.0,0.0
2021-09-29,8714.5,3420706.0,29.4,31186.0,3359749.0,28.9,39900.5,6780455.0,58.4,0.0
2021-09-30,5333.5,3426039.5,29.5,15134.0,3374883.0,29.0,20467.5,6800922.5,58.5,0.0
2021-10-01,5333.5,3431373.0,29.5,15134.0,3390017.0,29.2,20467.5,6821390.0,58.7,0.0
2021-10-02,1190.0,3432563.0,29.5,2453.0,3392470.0,29.2,3643.0,6825033.0,58.7,0.0
2021-10-03,1417.0,3433980.0,29.6,2482.0,3394952.0,29.2,3899.0,6828932.0,58.8,0.0
2021-10-04,12453.0,3446433.0,29.7,28967.0,3423919.0,29.5,41420.0,6870352.0,59.1,0.0
2021-10-05,7358.0,3453791.0,29.7,15549.0,3439468.0,29.6,22907.0,6893259.0,59.3,0.0
2021-10-06,6758.0,3460549.0,29.8,14480.0,3453948.0,29.7,21238.0,6914497.0,59.5,0.0
2021-10-07,5378.0,3465927.0,29.8,11814.0,3465762.0,29.8,17192.0,6931689.0,59.7,0.0
2021-10-08,5652.0,3471579.0,29.9,13856.0,3479618.0,29.9,19508.0,6951197.0,59.8,0.0
2021-10-09,1172.0,3472751.0,29.9,3151.0,3482769.0,30.0,4323.0,6955520.0,59.9,0.0
2021-10-10,1065.0,3473816.0,29.9,1563.0,3484332.0,30.0,2628.0,6958148.0,59.9,0.0
